"Fold","MSE","Accuracy","AUC","Sensitivity","Specificity","PPV","NPV","F1","Lambda","N_Features"
1,0.162200125697361,0.764705882352941,0.861111111111111,1,0.555555555555556,0.666666666666667,1,0.8,0.00611260758992486,8
2,0.148878289122833,0.8125,0.904761904761905,0.857142857142857,0.777777777777778,0.75,0.875,0.8,0.00148637932778593,8
3,0.0378410346728116,0.941176470588235,1,0.875,1,1,0.9,0.933333333333333,0.00511528004498482,7
4,0.106719105693811,0.875,0.96875,0.75,1,1,0.8,0.857142857142857,0.0321611042883808,6
5,0.0846154625363956,0.933333333333333,0.982142857142857,1,0.875,0.875,1,0.933333333333333,0.0103705818588156,6
6,0.0846518871238361,0.941176470588235,0.986111111111111,1,0.888888888888889,0.888888888888889,1,0.941176470588235,0.0385265537477536,6
7,0.0424635596369914,0.9375,0.984375,1,0.875,0.888888888888889,1,0.941176470588235,0.00304610563924638,8
8,0.143082894102615,0.823529411764706,0.888888888888889,0.75,0.888888888888889,0.857142857142857,0.8,0.8,0.00384419153250468,8
9,0.115161593460326,1,1,1,1,1,1,1,0.0858991060113159,5
10,0.121023563246464,0.705882352941177,0.930555555555556,0.875,0.555555555555556,0.636363636363636,0.833333333333333,0.736842105263158,0.0243600678116538,8
