"Fold","Accuracy","AUC","Sensitivity","Specificity","PPV","NPV","F1","Best_mtry"
1,0.823529411764706,0.888888888888889,1,0.666666666666667,0.727272727272727,1,0.842105263157895,1
2,0.875,0.952380952380952,0.857142857142857,0.888888888888889,0.857142857142857,0.888888888888889,0.857142857142857,2
3,0.941176470588235,1,0.875,1,1,0.9,0.933333333333333,1
4,0.8125,0.984375,0.625,1,1,0.727272727272727,0.769230769230769,2
5,0.933333333333333,0.964285714285714,1,0.875,0.875,1,0.933333333333333,1
6,0.941176470588235,0.916666666666667,1,0.888888888888889,0.888888888888889,1,0.941176470588235,1
7,1,1,1,1,1,1,1,1
8,0.823529411764706,0.958333333333333,0.75,0.888888888888889,0.857142857142857,0.8,0.8,1
9,0.875,0.984126984126984,1,0.777777777777778,0.777777777777778,1,0.875,1
10,0.941176470588235,0.986111111111111,0.875,1,1,0.9,0.933333333333333,1
